Order,Win,Turn - 0,Turn - 1,Turn - 2,Turn - 3,Turn - 4,Turn - 5,Turn - 6,Turn - 7
1,2,"3, 4, 5, 6
3, 4, 5, 6","[3]
4, 5, 6
3, 4, 5, 6","[4]
4, 5, 6
3, 5, 6","[5]
4, 6
3, 5, 6","[6]
4, 6
3, 5","[3]
4, 6
5","[4]
6
5","[5]
6"
2,1,"3, 4, 5, 6
3, 4, 5, 6","[3]
4, 5, 6
3, 4, 5, 6","[4]
4, 5, 6
3, 5, 6","[5]
4, 6
3, 5, 6","[6]
4, 6
3, 5","[3]
4, 6
5","[6]
4
5","[4]

5"
3,1,"3, 4, 5, 6
3, 4, 5, 6","[3]
4, 5, 6
3, 4, 5, 6","[4]
4, 5, 6
3, 5, 6","[5]
4, 6
3, 5, 6","[6]
4, 6
3, 5","[5]
4, 6
3","[6]
4
3","[4]

3"
4,1,"3, 4, 5, 6
3, 4, 5, 6","[3]
4, 5, 6
3, 4, 5, 6","[4]
4, 5, 6
3, 5, 6","[6]
4, 5
3, 5, 6","[4]
5
3, 5, 6","[5]
5
3, 6","[3]
5
6","[5]

6"
5,2,"3, 4, 5, 6
3, 4, 5, 6","[3]
4, 5, 6
3, 4, 5, 6","[4]
4, 5, 6
3, 5, 6","[6]
4, 5
3, 5, 6","[4]
5
3, 5, 6","[5]
5
3, 6","[6]
5
3","[3]
5"
6,1,"3, 4, 5, 6
3, 4, 5, 6","[3]
4, 5, 6
3, 4, 5, 6","[4]
4, 5, 6
3, 5, 6","[6]
4, 5
3, 5, 6","[4]
5
3, 5, 6","[6]
5
3, 5","[3]
5
5","[5]

5"
7,2,"3, 4, 5, 6
3, 4, 5, 6","[3]
4, 5, 6
3, 4, 5, 6","[4]
4, 5, 6
3, 5, 6","[6]
4, 5
3, 5, 6","[4]
5
3, 5, 6","[6]
5
3, 5","[5]
5
3","[3]
5"
8,1,"3, 4, 5, 6
3, 4, 5, 6","[3]
4, 5, 6
3, 4, 5, 6","[4]
4, 5, 6
3, 5, 6","[6]
4, 5
3, 5, 6","[5]
4
3, 5, 6","[6]
4
3, 5","[3]
4
5","[4]

5"
9,2,"3, 4, 5, 6
3, 4, 5, 6","[3]
4, 5, 6
3, 4, 5, 6","[4]
4, 5, 6
3, 5, 6","[6]
4, 5
3, 5, 6","[5]
4
3, 5, 6","[6]
4
3, 5","[5]
4
3","[3]
4"
