Order,Win,Layout,Turn - 0,Turn - 1,Turn - 2,Turn - 3,Turn - 4,Turn - 5,Turn - 6,Turn - 7,Turn - 8,Turn - 9
65,2,"3, 4, 7, 6, 7, 6, 3, 4, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[4]
4, 5, 6, 7
3, 5, 6, 7","[7]
4, 5, 6
3, 5, 6, 7","[6]
4, 5
3, 5, 6, 7","[7]
4, 5
3, 5, 6","[6]
4, 5
3, 5","[3]
4, 5
5","[4]
5
5","[5]
5
"
66,1,"3, 4, 7, 6, 7, 6, 3, 5, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[4]
4, 5, 6, 7
3, 5, 6, 7","[7]
4, 5, 6
3, 5, 6, 7","[6]
4, 5
3, 5, 6, 7","[7]
4, 5
3, 5, 6","[6]
4, 5
3, 5","[3]
4, 5
5","[5]
4
5","[4]

5"
67,2,"3, 4, 7, 6, 7, 6, 5, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[4]
4, 5, 6, 7
3, 5, 6, 7","[7]
4, 5, 6
3, 5, 6, 7","[6]
4, 5
3, 5, 6, 7","[7]
4, 5
3, 5, 6","[6]
4, 5
3, 5","[5]
4, 5
3","[3]
4, 5
"
68,1,"3, 5, 6, 7, 3, 4, 6, 7, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[6]
4, 5, 7
3, 4, 6, 7","[7]
4, 5, 7
3, 4, 6","[3]
4, 5, 7
4, 6","[4]
5, 7
4, 6","[6]
5, 7
4","[7]
5
4","[5]

4"
69,1,"3, 5, 6, 7, 3, 5, 6, 7, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[6]
4, 5, 7
3, 4, 6, 7","[7]
4, 5, 7
3, 4, 6","[3]
4, 5, 7
4, 6","[5]
4, 7
4, 6","[6]
4, 7
4","[7]
4
4","[4]

4"
70,2,"3, 5, 6, 7, 3, 7, 4, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[6]
4, 5, 7
3, 4, 6, 7","[7]
4, 5, 7
3, 4, 6","[3]
4, 5, 7
4, 6","[7]
4, 5
4, 6","[4]
5
4, 6","[6]
5
4","[4]
5
"
71,2,"3, 5, 6, 7, 3, 7, 5, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[6]
4, 5, 7
3, 4, 6, 7","[7]
4, 5, 7
3, 4, 6","[3]
4, 5, 7
4, 6","[7]
4, 5
4, 6","[5]
4
4, 6","[6]
4
4","[4]
4
"
72,1,"3, 5, 6, 7, 4, 5, 6, 7, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[6]
4, 5, 7
3, 4, 6, 7","[7]
4, 5, 7
3, 4, 6","[4]
4, 5, 7
3, 6","[5]
4, 7
3, 6","[6]
4, 7
3","[7]
4
3","[4]

3"
73,2,"3, 5, 6, 7, 4, 7, 4, 6, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[6]
4, 5, 7
3, 4, 6, 7","[7]
4, 5, 7
3, 4, 6","[4]
4, 5, 7
3, 6","[7]
4, 5
3, 6","[4]
5
3, 6","[6]
5
3","[3]
5
"
74,2,"3, 5, 6, 7, 4, 7, 5, 6, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[6]
4, 5, 7
3, 4, 6, 7","[7]
4, 5, 7
3, 4, 6","[4]
4, 5, 7
3, 6","[7]
4, 5
3, 6","[5]
4
3, 6","[6]
4
3","[3]
4
"
75,1,"3, 5, 6, 7, 6, 7, 4, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[6]
4, 5, 7
3, 4, 6, 7","[7]
4, 5, 7
3, 4, 6","[6]
4, 5, 7
3, 4","[7]
4, 5
3, 4","[4]
5
3, 4","[5]

3, 4"
76,1,"3, 5, 6, 7, 6, 7, 5, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[6]
4, 5, 7
3, 4, 6, 7","[7]
4, 5, 7
3, 4, 6","[6]
4, 5, 7
3, 4","[7]
4, 5
3, 4","[5]
4
3, 4","[4]

3, 4"
77,2,"3, 5, 7, 4, 6, 3, 5, 7, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[6]
5, 6
3, 4, 7","[3]
5, 6
4, 7","[5]
6
4, 7","[7]
6
4","[4]
6
"
78,2,"3, 5, 7, 4, 6, 3, 6, 7, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[6]
5, 6
3, 4, 7","[3]
5, 6
4, 7","[6]
5
4, 7","[7]
5
4","[4]
5
"
79,2,"3, 5, 7, 4, 6, 4, 5, 7, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[6]
5, 6
3, 4, 7","[4]
5, 6
3, 7","[5]
6
3, 7","[7]
6
3","[3]
6
"
80,2,"3, 5, 7, 4, 6, 4, 6, 7, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[6]
5, 6
3, 4, 7","[4]
5, 6
3, 7","[6]
5
3, 7","[7]
5
3","[3]
5
"
81,1,"3, 5, 7, 4, 6, 7, 3, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[6]
5, 6
3, 4, 7","[7]
5, 6
3, 4","[3]
5, 6
4","[5]
6
4","[6]

4"
82,1,"3, 5, 7, 4, 6, 7, 3, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[6]
5, 6
3, 4, 7","[7]
5, 6
3, 4","[3]
5, 6
4","[6]
5
4","[5]

4"
83,1,"3, 5, 7, 4, 6, 7, 4, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[6]
5, 6
3, 4, 7","[7]
5, 6
3, 4","[4]
5, 6
3","[5]
6
3","[6]

3"
84,1,"3, 5, 7, 4, 6, 7, 4, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[6]
5, 6
3, 4, 7","[7]
5, 6
3, 4","[4]
5, 6
3","[6]
5
3","[5]

3"
85,2,"3, 5, 7, 4, 7, 3, 5, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[7]
5, 6
3, 4, 6","[3]
5, 6
4, 6","[5]
6
4, 6","[6]
6
4","[4]
6
"
86,1,"3, 5, 7, 4, 7, 3, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[7]
5, 6
3, 4, 6","[3]
5, 6
4, 6","[6]
5
4, 6","[5]

4, 6"
87,2,"3, 5, 7, 4, 7, 4, 5, 6, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[7]
5, 6
3, 4, 6","[4]
5, 6
3, 6","[5]
6
3, 6","[6]
6
3","[3]
6
"
88,1,"3, 5, 7, 4, 7, 4, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[7]
5, 6
3, 4, 6","[4]
5, 6
3, 6","[6]
5
3, 6","[5]

3, 6"
89,1,"3, 5, 7, 4, 7, 6, 3, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[7]
5, 6
3, 4, 6","[6]
5, 6
3, 4","[3]
5, 6
4","[5]
6
4","[6]

4"
90,1,"3, 5, 7, 4, 7, 6, 3, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[7]
5, 6
3, 4, 6","[6]
5, 6
3, 4","[3]
5, 6
4","[6]
5
4","[5]

4"
91,1,"3, 5, 7, 4, 7, 6, 4, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[7]
5, 6
3, 4, 6","[6]
5, 6
3, 4","[4]
5, 6
3","[5]
6
3","[6]

3"
92,1,"3, 5, 7, 4, 7, 6, 4, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[4]
5, 6
3, 4, 6, 7","[7]
5, 6
3, 4, 6","[6]
5, 6
3, 4","[4]
5, 6
3","[6]
5
3","[5]

3"
93,2,"3, 5, 7, 5, 6, 3, 4, 7, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[5]
4, 6
3, 4, 6, 7","[6]
4, 6
3, 4, 7","[3]
4, 6
4, 7","[4]
6
4, 7","[7]
6
4","[4]
6
"
94,2,"3, 5, 7, 5, 6, 3, 6, 7, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[5]
4, 6
3, 4, 6, 7","[6]
4, 6
3, 4, 7","[3]
4, 6
4, 7","[6]
4
4, 7","[7]
4
4","[4]
4
"
95,2,"3, 5, 7, 5, 6, 4, 6, 7, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[5]
4, 6
3, 4, 6, 7","[6]
4, 6
3, 4, 7","[4]
4, 6
3, 7","[6]
4
3, 7","[7]
4
3","[3]
4
"
96,1,"3, 5, 7, 5, 6, 7, 3, 4, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[5]
4, 6
3, 4, 6, 7","[6]
4, 6
3, 4, 7","[7]
4, 6
3, 4","[3]
4, 6
4","[4]
6
4","[6]

4"
97,1,"3, 5, 7, 5, 6, 7, 3, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[5]
4, 6
3, 4, 6, 7","[6]
4, 6
3, 4, 7","[7]
4, 6
3, 4","[3]
4, 6
4","[6]
4
4","[4]

4"
98,1,"3, 5, 7, 5, 6, 7, 4, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[5]
4, 6
3, 4, 6, 7","[6]
4, 6
3, 4, 7","[7]
4, 6
3, 4","[4]
4, 6
3","[6]
4
3","[4]

3"
99,2,"3, 5, 7, 5, 7, 3, 4, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[5]
4, 6
3, 4, 6, 7","[7]
4, 6
3, 4, 6","[3]
4, 6
4, 6","[4]
6
4, 6","[6]
6
4","[4]
6
"
100,1,"3, 5, 7, 5, 7, 3, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[5]
4, 6
3, 4, 6, 7","[7]
4, 6
3, 4, 6","[3]
4, 6
4, 6","[6]
4
4, 6","[4]

4, 6"
101,1,"3, 5, 7, 5, 7, 4, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[5]
4, 6
3, 4, 6, 7","[7]
4, 6
3, 4, 6","[4]
4, 6
3, 6","[6]
4
3, 6","[4]

3, 6"
102,1,"3, 5, 7, 5, 7, 6, 3, 4, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[5]
4, 6
3, 4, 6, 7","[7]
4, 6
3, 4, 6","[6]
4, 6
3, 4","[3]
4, 6
4","[4]
6
4","[6]

4"
103,1,"3, 5, 7, 5, 7, 6, 3, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[5]
4, 6
3, 4, 6, 7","[7]
4, 6
3, 4, 6","[6]
4, 6
3, 4","[3]
4, 6
4","[6]
4
4","[4]

4"
104,1,"3, 5, 7, 5, 7, 6, 4, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[5]
4, 6
3, 4, 6, 7","[7]
4, 6
3, 4, 6","[6]
4, 6
3, 4","[4]
4, 6
3","[6]
4
3","[4]

3"
105,2,"3, 5, 7, 6, 7, 3, 4, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[6]
4, 5
3, 4, 6, 7","[7]
4, 5
3, 4, 6","[3]
4, 5
4, 6","[4]
5
4, 6","[6]
5
4","[4]
5
"
106,2,"3, 5, 7, 6, 7, 3, 5, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[6]
4, 5
3, 4, 6, 7","[7]
4, 5
3, 4, 6","[3]
4, 5
4, 6","[5]
4
4, 6","[6]
4
4","[4]
4
"
107,2,"3, 5, 7, 6, 7, 4, 5, 6, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[6]
4, 5
3, 4, 6, 7","[7]
4, 5
3, 4, 6","[4]
4, 5
3, 6","[5]
4
3, 6","[6]
4
3","[3]
4
"
108,1,"3, 5, 7, 6, 7, 6, 3, 4, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[6]
4, 5
3, 4, 6, 7","[7]
4, 5
3, 4, 6","[6]
4, 5
3, 4","[3]
4, 5
4","[4]
5
4","[5]

4"
109,1,"3, 5, 7, 6, 7, 6, 3, 5, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[6]
4, 5
3, 4, 6, 7","[7]
4, 5
3, 4, 6","[6]
4, 5
3, 4","[3]
4, 5
4","[5]
4
4","[4]

4"
110,1,"3, 5, 7, 6, 7, 6, 4, 5, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[5]
4, 5, 6, 7
3, 4, 6, 7","[7]
4, 5, 6
3, 4, 6, 7","[6]
4, 5
3, 4, 6, 7","[7]
4, 5
3, 4, 6","[6]
4, 5
3, 4","[4]
4, 5
3","[5]
4
3","[4]

3"
111,1,"3, 6, 7, 4, 5, 6, 7, 3, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[4]
5, 6
3, 4, 5, 7","[5]
5, 6
3, 4, 7","[6]
5
3, 4, 7","[7]
5
3, 4","[3]
5
4","[5]

4"
112,1,"3, 6, 7, 4, 5, 6, 7, 4, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[4]
5, 6
3, 4, 5, 7","[5]
5, 6
3, 4, 7","[6]
5
3, 4, 7","[7]
5
3, 4","[4]
5
3","[5]

3"
113,1,"3, 6, 7, 4, 7, 3, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[4]
5, 6
3, 4, 5, 7","[7]
5, 6
3, 4, 5","[3]
5, 6
4, 5","[5]
6
4, 5","[6]

4, 5"
114,1,"3, 6, 7, 4, 7, 3, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[4]
5, 6
3, 4, 5, 7","[7]
5, 6
3, 4, 5","[3]
5, 6
4, 5","[6]
5
4, 5","[5]

4, 5"
115,1,"3, 6, 7, 4, 7, 4, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[4]
5, 6
3, 4, 5, 7","[7]
5, 6
3, 4, 5","[4]
5, 6
3, 5","[5]
6
3, 5","[6]

3, 5"
116,1,"3, 6, 7, 4, 7, 4, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[4]
5, 6
3, 4, 5, 7","[7]
5, 6
3, 4, 5","[4]
5, 6
3, 5","[6]
5
3, 5","[5]

3, 5"
117,1,"3, 6, 7, 4, 7, 5, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[4]
5, 6
3, 4, 5, 7","[7]
5, 6
3, 4, 5","[5]
5, 6
3, 4","[6]
5
3, 4","[5]

3, 4"
118,1,"3, 6, 7, 5, 7, 3, 4, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[5]
4, 6
3, 4, 5, 7","[7]
4, 6
3, 4, 5","[3]
4, 6
4, 5","[4]
6
4, 5","[5]
6
4","[6]

4"
119,1,"3, 6, 7, 5, 7, 3, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[5]
4, 6
3, 4, 5, 7","[7]
4, 6
3, 4, 5","[3]
4, 6
4, 5","[6]
4
4, 5","[4]

4, 5"
120,1,"3, 6, 7, 5, 7, 4, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[5]
4, 6
3, 4, 5, 7","[7]
4, 6
3, 4, 5","[4]
4, 6
3, 5","[6]
4
3, 5","[4]

3, 5"
121,1,"3, 6, 7, 5, 7, 5, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[5]
4, 6
3, 4, 5, 7","[7]
4, 6
3, 4, 5","[5]
4, 6
3, 4","[6]
4
3, 4","[4]

3, 4"
122,2,"3, 6, 7, 6, 7, 3, 4, 5, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[6]
4, 5
3, 4, 5, 7","[7]
4, 5
3, 4, 5","[3]
4, 5
4, 5","[4]
5
4, 5","[5]
5
4","[4]
5
"
123,1,"3, 6, 7, 6, 7, 3, 5, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[6]
4, 5
3, 4, 5, 7","[7]
4, 5
3, 4, 5","[3]
4, 5
4, 5","[5]
4
4, 5","[4]

4, 5"
124,1,"3, 6, 7, 6, 7, 4, 5, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[6]
4, 5
3, 4, 5, 7","[7]
4, 5
3, 4, 5","[4]
4, 5
3, 5","[5]
4
3, 5","[4]

3, 5"
125,1,"3, 6, 7, 6, 7, 5, 3, 4, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[6]
4, 5
3, 4, 5, 7","[7]
4, 5
3, 4, 5","[5]
4, 5
3, 4","[3]
4, 5
4","[4]
5
4","[5]

4"
126,1,"3, 6, 7, 6, 7, 5, 3, 5, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[6]
4, 5
3, 4, 5, 7","[7]
4, 5
3, 4, 5","[5]
4, 5
3, 4","[3]
4, 5
4","[5]
4
4","[4]

4"
127,1,"3, 6, 7, 6, 7, 5, 4, 5, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[6]
4, 5, 6, 7
3, 4, 5, 7","[7]
4, 5, 6
3, 4, 5, 7","[6]
4, 5
3, 4, 5, 7","[7]
4, 5
3, 4, 5","[5]
4, 5
3, 4","[4]
4, 5
3","[5]
4
3","[4]

3"
128,1,"3, 7, 3, 4, 5, 6, 5, 6, 7","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[4]
5, 6, 7
4, 5, 6","[5]
5, 6, 7
4, 6","[6]
5, 7
4, 6","[5]
7
4, 6","[6]
7
4","[7]

4"
129,1,"3, 7, 3, 4, 5, 6, 7, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[4]
5, 6, 7
4, 5, 6","[5]
5, 6, 7
4, 6","[6]
5, 7
4, 6","[7]
5
4, 6","[5]

4, 6"
